MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,DIRECTOR,VOTES,RunTime,Gross
Blood Red Sky,2021,"
Action, Horror, Thriller            ",6.1,A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.,"
Peri Baumeister, 
Carl Anton Koch, 
Alexander Scheer, 
Kais Setti
","
Peter Thorwarth",21062,121,Not specified
Masters of the Universe,2021,"
Animation, Action, Adventure            ",5,The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.,"
Chris Wood, 
Sarah Michelle Gellar, 
Lena Headey, 
Mark Hamill
",Not specified,17870,25,Not specified
The Walking Dead,2010-2022,"
Drama, Horror, Thriller            ",8.2,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,"
Andrew Lincoln, 
Norman Reedus, 
Melissa McBride, 
Lauren Cohan
",Not specified,885805,44,Not specified
Rick and Morty,2013,"
Animation, Adventure, Comedy            ",9.2,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"
Justin Roiland, 
Chris Parnell, 
Spencer Grammer, 
Sarah Chalke
",Not specified,414849,23,Not specified
Army of Thieves,2021,"
Action, Crime, Horror            ",Not specified,"A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.","
Matthias Schweighfer, 
Nathalie Emmanuel, 
Ruby O. Fee, 
Stuart Martin
","
Matthias Schweighfer",Not specified,Not specified,Not specified
Outer Banks,2020,"
Action, Crime, Drama            ",7.6,A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.,"
Chase Stokes, 
Madelyn Cline, 
Madison Bailey, 
Jonathan Daviss
",Not specified,25858,50,Not specified
The Last Letter from Your Lover,2021,"
Drama, Romance            ",6.8,A pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965.,"
Shailene Woodley, 
Joe Alwyn, 
Wendy Nottingham, 
Felicity Jones
","
Augustine Frizzell",5283,110,Not specified
Dexter,2006-2013,"
Crime, Drama, Mystery            ",8.6,"By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.","
Michael C. Hall, 
Jennifer Carpenter, 
David Zayas, 
James Remar
",Not specified,665387,53,Not specified
Never Have I Ever,2020,"
Comedy            ",7.9,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.","
Maitreyi Ramakrishnan, 
Poorna Jagannathan, 
Darren Barnet, 
John McEnroe
",Not specified,34530,30,Not specified
Virgin River,2019,"
Drama, Romance            ",7.4,"Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds.","
Alexandra Breckenridge, 
Martin Henderson, 
Colin Lawrence, 
Tim Matheson
",Not specified,27279,44,Not specified
Gunpowder Milkshake,2021,"
Action, Adventure, Thriller            ",6,Three generations of women fight back against those who could take everything from them.,"
Karen Gillan, 
Lena Headey, 
Carla Gugino, 
Michelle Yeoh
","
Navot Papushado",17989,114,Not specified
Lucifer,2016-2021,"
Crime, Drama, Fantasy            ",8.1,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"
Tom Ellis, 
Lesley-Ann Brandt, 
Lauren German, 
D.B. Woodside
",Not specified,264222,42,Not specified
Fear Street,2021,"
Drama, Horror, Mystery            ",6.2,A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. Welcome to Shadyside.,"
Kiana Madeira, 
Olivia Scott Welch, 
Benjamin Flores Jr., 
Julia Rehwald
","
Leigh Janiak",50148,107,Not specified
Sex/Life,2021,"
Comedy, Drama, Romance            ",5.4,A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild-child past.,"
Sarah Shahi, 
Mike Vogel, 
Adam Demos, 
Margaret Odette
",Not specified,12172,Not specified,Not specified
American Horror Story,2011,"
Drama, Horror, Thriller            ",8,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.","
Lady Gaga, 
Kathy Bates, 
Angela Bassett, 
Sarah Paulson
",Not specified,286488,60,Not specified
Grey's Anatomy,2005,"
Drama, Romance            ",7.5,A drama centered on the personal and professional lives of five surgical interns and their supervisors.,"
Ellen Pompeo, 
Chandra Wilson, 
James Pickens Jr., 
Justin Chambers
",Not specified,266258,41,Not specified
Breaking Bad,2008-2013,"
Crime, Drama, Thriller            ",9.4,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"
Bryan Cranston, 
Aaron Paul, 
Anna Gunn, 
Betsy Brandt
",Not specified,1552311,49,Not specified
The Good Doctor,2017,"
Drama            ",8.1,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.","
Freddie Highmore, 
Hill Harper, 
Richard Schiff, 
Antonia Thomas
",Not specified,70871,41,Not specified
Atypical,2017-2021,"
Comedy, Drama            ",8.3,"Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence.","
Jennifer Jason Leigh, 
Keir Gilchrist, 
Brigette Lundy-Paine, 
Michael Rapaport
",Not specified,71544,30,Not specified
Stranger Things,2016,"
Drama, Fantasy, Horror            ",8.7,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","
Millie Bobby Brown, 
Finn Wolfhard, 
Winona Ryder, 
David Harbour
",Not specified,885856,51,Not specified
Fear Street,2021,"
Drama, Horror, Mystery            ",6.8,"Shadyside, 1978. School's out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider is possessed with the urge to kill, the fun in the sun becomes a gruesome fight for survival.","
Sadie Sink, 
Emily Rudd, 
Ryan Simpkins, 
McCabe Slye
","
Leigh Janiak",36634,109,Not specified
Friends,1994-2004,"
Comedy, Romance            ",8.9,Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.,"
Jennifer Aniston, 
Courteney Cox, 
Lisa Kudrow, 
Matt LeBlanc
",Not specified,880918,22,Not specified
The Flash,2014,"
Action, Adventure, Drama            ",7.6,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.","
Grant Gustin, 
Candice Patton, 
Danielle Panabaker, 
Carlos Valdes
",Not specified,320264,43,Not specified
Peaky Blinders,2013,"
Crime, Drama            ",8.8,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","
Cillian Murphy, 
Paul Anderson, 
Helen McCrory, 
Sophie Rundle
",Not specified,393414,60,Not specified
HeMan and the Masters of the Universe,2021,"
Animation, Action, Adventure            ",Not specified,"Eternia's Prince Adam discovers the power of Grayskull and transforms into He-Man, Master of the Universe. A reimagining of the classic animated series.",Not specified,Not specified,Not specified,Not specified,Not specified
Chernobyl,2021,"
Drama, History, Romance            ",5,A story about a heroic fireman who worked as one of Chernobyl liquidators.,"
Danila Kozlovskiy, 
Oksana Akinshina, 
Filipp Avdeev, 
Ravshana Kurkova
","
Danila Kozlovskiy",4681,136,Not specified
Vikings,2013-2020,"
Action, Adventure, Drama            ",8.5,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","
Katheryn Winnick, 
Gustaf Skarsgrd, 
Alexander Ludwig, 
Georgia Hirst
",Not specified,459913,44,Not specified
Better Call Saul,2015,"
Crime, Drama            ",8.8,"The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","
Bob Odenkirk, 
Rhea Seehorn, 
Jonathan Banks, 
Patrick Fabian
",Not specified,347857,46,Not specified
Supernatural,2005-2020,"
Drama, Fantasy, Horror            ",8.4,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","
Jared Padalecki, 
Jensen Ackles, 
Jim Beaver, 
Misha Collins
",Not specified,404273,44,Not specified
The Blacklist,2013,"
Crime, Drama, Mystery            ",8,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","
James Spader, 
Megan Boone, 
Diego Klattenhoff, 
Ryan Eggold
",Not specified,213522,43,Not specified
Fear Street,2021,"
Horror, Mystery            ",6.7,The origins of Sarah Fier's curse are finally revealed as history comes full circle on a night that changes the lives of Shadysiders forever.,"
Kiana Madeira, 
Ashley Zukerman, 
Gillian Jacobs, 
Olivia Scott Welch
","
Leigh Janiak",27447,114,Not specified
Animal Kingdom,2016,"
Crime, Drama            ",8.2,"Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.","
Shawn Hatosy, 
Ben Robson, 
Jake Weary, 
Finn Cole
",Not specified,26926,60,Not specified
Brooklyn NineNine,2013-2022,"
Comedy, Crime            ",8.4,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.","
Andy Samberg, 
Stephanie Beatriz, 
Terry Crews, 
Melissa Fumero
",Not specified,248583,22,Not specified
NCIS,2003,"
Action, Crime, Drama            ",7.7,"The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.","
Mark Harmon, 
David McCallum, 
Sean Murray, 
Pauley Perrette
",Not specified,125619,60,Not specified
Kingdom,2019,"
Action, Drama, History            ",8.4,"While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.","
Ju Ji-Hoon, 
Bae Doona, 
Kim Sungkyu, 
Hye-jun Kim
",Not specified,34906,45,Not specified
Modern Family,2009-2020,"
Comedy, Drama, Romance            ",8.4,Three different but related families face trials and tribulations in their own uniquely comedic ways.,"
Ed O'Neill, 
Sofa Vergara, 
Julie Bowen, 
Ty Burrell
",Not specified,378030,22,Not specified
Titans,2018,"
Action, Adventure, Crime            ",7.7,A team of young superheroes combat evil and other perils.,"
Brenton Thwaites, 
Teagan Croft, 
Anna Diop, 
Ryan Potter
",Not specified,73656,45,Not specified
The Witcher,2019,"
Action, Adventure, Fantasy            ",8.2,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","
Henry Cavill, 
Anna Shaffer, 
Freya Allan, 
Adjoa Andoh
",Not specified,336484,60,Not specified
Downton Abbey,2010-2015,"
Drama, Romance            ",8.7,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,"
Hugh Bonneville, 
Phyllis Logan, 
Elizabeth McGovern, 
Brendan Coyle
",Not specified,171804,58,Not specified
Shingeki no kyojin,2013-2022,"
Animation, Action, Adventure            ",9,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","
Yki Kaji, 
Marina Inoue, 
Josh Grelle, 
Yui Ishikawa
",Not specified,242582,24,Not specified
Suits,2011-2019,"
Comedy, Drama            ",8.4,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.","
Gabriel Macht, 
Patrick J. Adams, 
Meghan Markle, 
Sarah Rafferty
",Not specified,374263,44,Not specified
La casa de papel,2017-2021,"
Action, Crime, Mystery            ",8.3,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,"
rsula Corber, 
lvaro Morte, 
Itziar Ituo, 
Pedro Alonso
",Not specified,341858,70,Not specified
Schitt's Creek,2015-2020,"
Comedy            ",8.5,"When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.","
Eugene Levy, 
Catherine O'Hara, 
Dan Levy, 
Annie Murphy
",Not specified,90728,22,Not specified
Outlander,2014,"
Drama, Fantasy, Romance            ",8.4,An English combat nurse from 1945 is mysteriously swept back in time to 1743.,"
Caitriona Balfe, 
Sam Heughan, 
Duncan Lacroix, 
Sophie Skelton
",Not specified,134991,64,Not specified
The Last Kingdom,2015,"
Action, Drama, History            ",8.4,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.","
Alexander Dreymon, 
Eliza Butterworth, 
Arnas Fedaravicius, 
Millie Brady
",Not specified,94650,60,Not specified
Black Mirror,2011,"
Drama, Sci-Fi, Thriller            ",8.8,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","
Daniel Lapaine, 
Hannah John-Kamen, 
Michaela Coel, 
Beatrice Robertson-Jones
",Not specified,469407,60,Not specified
Ozark,2017,"
Crime, Drama, Thriller            ",8.4,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.","
Jason Bateman, 
Laura Linney, 
Sofia Hublitz, 
Skylar Gaertner
",Not specified,206090,60,Not specified
The Crown,2016,"
Biography, Drama, History            ",8.6,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,"
Claire Foy, 
Olivia Colman, 
Imelda Staunton, 
Matt Smith
",Not specified,169517,58,Not specified
Sweet Tooth,2021,"
Action, Adventure, Drama            ",7.9,A boy who is half human and half deer survives in a post-apocalyptic world with other hybrids.,"
Nonso Anozie, 
Christian Convery, 
Adeel Akhtar, 
Stefania LaVie Owen
",Not specified,37142,Not specified,Not specified
Army of the Dead,2021,"
Action, Crime, Horror            ",5.8,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.","
Dave Bautista, 
Ella Purnell, 
Ana de la Reguera, 
Omari Hardwick
","
Zack Snyder",132378,148,Not specified
Fargo,2014,"
Crime, Drama, Thriller            ",8.9,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","
Billy Bob Thornton, 
Martin Freeman, 
Allison Tolman, 
Colin Hanks
",Not specified,341221,53,Not specified
How I Met Your Mother,2005-2014,"
Comedy, Romance            ",8.3,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,"
Josh Radnor, 
Jason Segel, 
Cobie Smulders, 
Neil Patrick Harris
",Not specified,624036,22,Not specified
Community,2009-2015,"
Comedy            ",8.5,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,"
Joel McHale, 
Danny Pudi, 
Donald Glover, 
Chevy Chase
",Not specified,231013,22,Not specified
Sons of Anarchy,2008-2014,"
Crime, Drama, Thriller            ",8.5,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,"
Charlie Hunnam, 
Katey Sagal, 
Mark Boone Junior, 
Kim Coates
",Not specified,270445,45,Not specified
StartUp,2016-2018,"
Crime, Thriller            ",7.9,"A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0.","
Adam Brody, 
Edi Gathegi, 
Otmara Marrero, 
Kristen Ariza
",Not specified,22971,44,Not specified
The Vampire Diaries,2009-2017,"
Drama, Fantasy, Horror            ",7.7,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.","
Nina Dobrev, 
Paul Wesley, 
Ian Somerhalder, 
Kat Graham
",Not specified,293434,43,Not specified
365 dni,2020,"
Drama, Romance            ",3.3,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.","
Anna Maria Sieklucka, 
Michele Morrone, 
Bronislaw Wroclawski, 
Otar Saralidze
","
Barbara Bialowas, 
Tomasz Mandes",63620,114,Not specified
How to Sell Drugs Online Fast,2019,"
Comedy, Crime, Drama            ",7.9,"To win back the love of his life, a high school student and his best friend launch Europe's largest online drug business from their teenage bedroom.","
Maximilian Mundt, 
Danilo Kamperidis, 
Lena Klenke, 
Damian Hardung
",Not specified,23960,30,Not specified
Good Girls,2018-2021,"
Comedy, Crime, Drama            ",7.8,Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back.,"
Christina Hendricks, 
Retta, 
Mae Whitman, 
Reno Wilson
",Not specified,38618,43,Not specified
13 Reasons Why,2017-2020,"
Drama, Mystery, Thriller            ",7.6,"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.","
Dylan Minnette, 
Katherine Langford, 
Christian Navarro, 
Alisha Boe
",Not specified,266386,60,Not specified
The Queen's Gambit,2020,"
Drama            ",8.6,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.","
Anya Taylor-Joy, 
Chloe Pirrie, 
Bill Camp, 
Marcin Dorocinski
",Not specified,336801,395,Not specified
Legends of Tomorrow,2016,"
Action, Adventure, Drama            ",6.8,"Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.","
Caity Lotz, 
Amy Louise Pemberton, 
Dominic Purcell, 
Nick Zano
",Not specified,95897,42,Not specified
Star Trek,1987-1994,"
Action, Adventure, Mystery            ",8.6,"Set almost 100 years after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before.","
Patrick Stewart, 
Brent Spiner, 
Jonathan Frakes, 
LeVar Burton
",Not specified,106181,44,Not specified
Le dernier mercenaire,2021,"
Action, Comedy            ",5.4,"A mysterious former secret service agent must urgently return to France when his estranged son is falsely accused of arms and drug trafficking by the government, following a blunder by an overzealous bureaucrat and a mafia operation.","
Jean-Claude Van Damme, 
Alban Ivanov, 
Samir Decazza, 
Assa Sylla
","
David Charhon",2606,110,Not specified
Resort to Love,2021,"
Comedy, Romance            ",5.7,"Erica, who ends up as the entertainment at her ex-fianc's wedding after reluctantly taking a gig at a luxurious island resort while in the wake of a music career meltdown.","
Christina Milian, 
Tymberlee Hill, 
Kayne Lee Harrison, 
Ruth Nadler-Nir
","
Steven K. Tsuchida",1591,101,Not specified
Evil,2019,"
Crime, Drama, Horror            ",7.7,"A skeptical female clinical psychologist joins a priest-in-training and a blue-collar contractor as they investigate supposed miracles, demonic possession, and other extraordinary occurrences to see if there's a scientific explanation or if something truly supernatural is at work.","
Katja Herbers, 
Mike Colter, 
Aasif Mandvi, 
Maddy Crocco
",Not specified,15048,42,Not specified
The Expanse,2015,"
Drama, Mystery, Sci-Fi            ",8.5,"In the 24th century, a disparate band of antiheroes unravel a vast conspiracy that threatens the Solar System's fragile state of cold war.","
Wes Chatham, 
Dominique Tipper, 
Steven Strait, 
Shohreh Aghdashloo
",Not specified,119644,60,Not specified
New Amsterdam,2018,"
Drama            ",8.1,A new medical director breaks the rules to heal the system at America's oldest public hospital.,"
Ryan Eggold, 
Janet Montgomery, 
Freema Agyeman, 
Jocko Sims
",Not specified,27709,43,Not specified
Line of Duty,2012,"
Crime, Drama, Mystery            ",8.7,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit.","
Martin Compston, 
Vicky McClure, 
Adrian Dunbar, 
Craig Parkinson
",Not specified,46751,60,Not specified
The 100,2014-2020,"
Drama, Mystery, Sci-Fi            ",7.6,"Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet.","
Eliza Taylor, 
Bob Morley, 
Marie Avgeropoulos, 
Isaiah Washington
",Not specified,226962,43,Not specified
New Girl,2011-2018,"
Comedy            ",7.7,"After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.","
Zooey Deschanel, 
Jake Johnson, 
Max Greenfield, 
Hannah Simone
",Not specified,200421,22,Not specified
Prison Break,2005-2017,"
Action, Crime, Drama            ",8.3,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.","
Dominic Purcell, 
Wentworth Miller, 
Amaury Nolasco, 
Robert Knepper
",Not specified,492438,44,Not specified
Sex Education,2019,"
Comedy, Drama            ",8.3,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,"
Asa Butterfield, 
Gillian Anderson, 
Ncuti Gatwa, 
Emma Mackey
",Not specified,177274,45,Not specified
A Classic Horror Story,2021,"
Drama, Horror, Mystery            ",5.7,"In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive.","
Matilda Anna Ingrid Lutz, 
Francesco Russo, 
Peppino Mazzotta, 
Will Merrick
","
Roberto De Feo, 
Paolo Strippoli",8822,95,Not specified
Feels Like Ishq,2021,"
Comedy, Drama, Romance            ",6.6,Short films follow young adults as they navigate the gamut of emotions that come with finding romantic connection in unexpected places.,"
Jojo Singh, 
Mihir Ahuja, 
Kajol Chugh, 
Sumali Khaniwale
",Not specified,848,32,Not specified
Young Royals,2021,"
Drama, Romance            ",8.6,"Prince Wilhelm adjusts to life at his prestigious new boarding school, Hillerska, but following his heart proves more challenging than anticipated.","
Edvin Ryding, 
Omar Rudberg, 
Frida Argento, 
Samuel Astor
",Not specified,16954,50,Not specified
Shadow and Bone,2021,"
Action, Adventure, Drama            ",7.7,Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.,"
Jessie Mei Li, 
Ben Barnes, 
Archie Renaux, 
Freddy Carter
",Not specified,60283,Not specified,Not specified
The Hitman's Bodyguard,2017,"
Action, Comedy, Crime            ",6.9,"The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time.","
Ryan Reynolds, 
Samuel L. Jackson, 
Gary Oldman, 
Elodie Yung
","
Patrick Hughes",205979,118,$75.47M
Mad Men,2007-2015,"
Drama            ",8.6,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.","
Jon Hamm, 
Elisabeth Moss, 
Vincent Kartheiser, 
January Jones
",Not specified,216203,47,Not specified
lite,2018,"
Crime, Drama, Thriller            ",7.5,"When three working-class teenagers begin attending an exclusive private school in Spain, the clash between them and the wealthy students leads to murder.","
Itzan Escamilla, 
Omar Ayuso, 
Miguel Bernardeau, 
Arn Piper
",Not specified,59730,60,Not specified
Gilmore Girls,2000-2007,"
Comedy, Drama            ",8.1,"A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut.","
Lauren Graham, 
Alexis Bledel, 
Keiko Agena, 
Scott Patterson
",Not specified,106650,44,Not specified
Sky Rojo,2021,"
Action, Adventure, Crime            ",6.5,"Coral, Wendy, and Gina go on the run in search of freedom while being chased by Romeo, their pimp from Las Novias Club, and his henchmen, Moises and Christian.","
Vernica Snchez, 
Miguel ngel Silvestre, 
Asier Etxeandia, 
Lali Espsito
",Not specified,6940,31,Not specified
Lupin,2021,"
Action, Crime, Drama            ",7.5,"Inspired by the adventures of Arsne Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.","
Omar Sy, 
Ludivine Sagnier, 
Herv Pierre, 
Soufiane Guerrab
",Not specified,84428,45,Not specified
Trollhunters,2021,"
Animation, Action, Adventure            ",6.9,The heroes from the Trollhunters series team-up on an epic adventure to fight the Arcane Order for control over the magic that binds them all.,"
Steve Alterman, 
Kay Bess, 
Brian Blessed, 
Vic Chao
","
Johane Matte, 
Francisco Ruiz-Velasco, 
Andrew L. Schmidt",2353,104,Not specified
Heartland,2007,"
Drama, Family            ",8.4,"A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times.","
Amber Marshall, 
Shaun Johnston, 
Michelle Morgan, 
Graham Wardle
",Not specified,11764,45,Not specified
Jurassic Park,1993,"
Action, Adventure, Sci-Fi            ",8.1,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"
Sam Neill, 
Laura Dern, 
Jeff Goldblum, 
Richard Attenborough
","
Steven Spielberg",897444,127,$402.45M
Family Guy,1999-2022,"
Animation, Comedy            ",8.1,"In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.","
Seth MacFarlane, 
Alex Borstein, 
Seth Green, 
Mila Kunis
",Not specified,312584,22,Not specified
Daredevil,2015-2018,"
Action, Crime, Drama            ",8.6,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","
Charlie Cox, 
Vincent D'Onofrio, 
Deborah Ann Woll, 
Elden Henson
",Not specified,374963,54,Not specified
Dark,2017-2020,"
Crime, Drama, Mystery            ",8.8,"A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.","
Louis Hofmann, 
Karoline Eichhorn, 
Lisa Vicari, 
Maja Schne
",Not specified,312629,60,Not specified
Boku no hr akademia,2016,"
Animation, Action, Adventure            ",8.4,A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.,"
Daiki Yamashita, 
Nobuhiko Okamoto, 
Ayane Sakura, 
Justin Briner
",Not specified,44367,24,Not specified
Cobra Kai,2018,"
Action, Comedy, Drama            ",8.6,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","
Courtney Henggeler, 
Mary Mouser, 
Tanner Buchanan, 
Ralph Macchio
",Not specified,122268,30,Not specified
 Kingdom,2019,"
Action, Drama, History            ",7.1,"Tragedy, betrayal and a mysterious discovery fuel a woman's vengeance for the loss of her tribe and family in this special episode of ""Kingdom.""","
Jun Ji-hyun, 
Si-ah Kim, 
Byeong-eun Park, 
Kyo-hwan Koo
","
Seong-hun Kim",6388,92,Not specified
Gotham,2014-2019,"
Action, Crime, Drama            ",7.8,The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.,"
Ben McKenzie, 
Jada Pinkett Smith, 
Donal Logue, 
Camren Bicondova
",Not specified,216458,42,Not specified
Billions,2016,"
Drama            ",8.4,"U.S. Attorney Chuck Rhoades goes after hedge fund king Bobby ""Axe"" Axelrod in a battle between two powerful New York figures.","
Paul Giamatti, 
Damian Lewis, 
Maggie Siff, 
David Costabile
",Not specified,74094,60,Not specified
Agents of S.H.I.E.L.D.,2013-2020,"
Action, Adventure, Drama            ",7.5,"The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.","
Clark Gregg, 
Ming-Na Wen, 
Brett Dalton, 
Iain De Caestecker
",Not specified,205119,45,Not specified
Don't Breathe,2016,"
Crime, Horror, Thriller            ",7.1,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.","
Stephen Lang, 
Jane Levy, 
Dylan Minnette, 
Daniel Zovatto
","
Fede Alvarez",237601,88,$89.22M
The Ice Road,2021,"
Action, Adventure, Drama            ",5.6,"After a remote diamond mine collapses in far northern Canada, a big-rig ice road driver must lead an impossible rescue mission over a frozen ocean to save the trapped miners.","
Liam Neeson, 
Marcus Thomas, 
Laurence Fishburne, 
Amber Midthunder
","
Jonathan Hensleigh",20561,109,Not specified
